accuracy,auroc,benchmark,dataset_kind,diagnostic_error,mae,metrics_path,n_test,n_train,public_source,ranc_downgrades,ranc_drift_monitors,ranc_fit_samples,ranc_hard_failures,ranc_ledger_rows,ranc_max_drift_estimate,ranc_passed,ranc_policy_summary,ranc_rejected_candidates,ranc_sparse_failures,ranc_train_only_fit,rmse,scaler,seed,selected_scaler,sparse_input,sparse_output,split_strategy,task,test_density_after,test_density_before,test_nnz_after,test_nnz_before,test_nnz_delta,train_density_after,train_density_before,train_nnz_after,train_nnz_before,train_nnz_delta
,,openml_wine_quality,openml,,0.5835825209924157,outputs/openml/runs/openml_wine_quality/seed_0/metrics.csv,2274.0,4223.0,uci_via_openml,,,,,,,,,,,,0.7456691082058939,robust,0,,False,False,random,regression,0.9977212760853922,0.9977212760853922,24957.0,24957.0,0.0,0.9979764493143608,0.9979764493143608,46359.0,46359.0,0.0
,,openml_wine_quality,openml,,0.5840398224830038,outputs/openml/runs/openml_wine_quality/seed_0/metrics.csv,2274.0,4223.0,uci_via_openml,,,,,,,,,,,,0.7459764916579352,minmax,0,,False,False,random,regression,0.9974814104101704,0.9977212760853922,24951.0,24957.0,-6.0,0.9976750694250103,0.9979764493143608,46345.0,46359.0,-14.0
,,openml_wine_quality,openml,,0.5835825209924157,outputs/openml/runs/openml_wine_quality/seed_0/metrics.csv,2274.0,4223.0,uci_via_openml,,,,,,,,,,,,0.7456691082058939,selector,0,robust,False,False,random,regression,0.9977212760853922,0.9977212760853922,24957.0,24957.0,0.0,0.9979764493143608,0.9979764493143608,46359.0,46359.0,0.0
,,openml_wine_quality,openml,,0.5835823056855182,outputs/openml/runs/openml_wine_quality/seed_0/metrics.csv,2274.0,4223.0,uci_via_openml,0.0,11.0,4223.0,0.0,0.0,0.0899333333333334,True,zscore:11,28.0,0.0,,0.7456721588738409,ranc,0,,False,False,random,regression,1.0,0.9977212760853922,25014.0,24957.0,57.0,1.0,0.9979764493143608,46453.0,46359.0,94.0
,,openml_wine_quality,openml,,0.5612224660745759,outputs/openml/runs/openml_wine_quality/seed_1/metrics.csv,2274.0,4223.0,uci_via_openml,,,,,,,,,,,,0.7247028264237094,none,1,,False,False,random,regression,0.9979211641480771,0.9979211641480771,24962.0,24962.0,0.0,0.9978688136395927,0.9978688136395927,46354.0,46354.0,0.0
,,openml_wine_quality,openml,,0.5602656249875911,outputs/openml/runs/openml_wine_quality/seed_1/metrics.csv,2274.0,4223.0,uci_via_openml,,,,,,,,,,,,0.7233485834084828,standard,1,,False,False,random,regression,0.9979211641480771,0.9979211641480771,24962.0,24962.0,0.0,0.9978688136395927,0.9978688136395927,46354.0,46354.0,0.0
,,openml_wine_quality,openml,,0.5602624186076702,outputs/openml/runs/openml_wine_quality/seed_1/metrics.csv,2274.0,4223.0,uci_via_openml,,,,,,,,,,,,0.7233448242574403,robust,1,,False,False,random,regression,0.9979211641480771,0.9979211641480771,24962.0,24962.0,0.0,0.9978688136395927,0.9978688136395927,46354.0,46354.0,0.0
,,openml_wine_quality,openml,,0.5602809453228359,outputs/openml/runs/openml_wine_quality/seed_1/metrics.csv,2274.0,4223.0,uci_via_openml,,,,,,,,,,,,0.7234494715566735,minmax,1,,False,False,random,regression,0.9976812984728552,0.9979211641480771,24956.0,24962.0,-6.0,0.9974597980754741,0.9978688136395927,46335.0,46354.0,-19.0
,,openml_wine_quality,openml,,0.5602656249875911,outputs/openml/runs/openml_wine_quality/seed_1/metrics.csv,2274.0,4223.0,uci_via_openml,,,,,,,,,,,,0.7233485834084828,selector,1,standard,False,False,random,regression,0.9979211641480771,0.9979211641480771,24962.0,24962.0,0.0,0.9978688136395927,0.9978688136395927,46354.0,46354.0,0.0
,,openml_wine_quality,openml,,0.5602656247480859,outputs/openml/runs/openml_wine_quality/seed_1/metrics.csv,2274.0,4223.0,uci_via_openml,0.0,11.0,4223.0,0.0,0.0,0.07494444444444452,True,zscore:11,28.0,0.0,,0.7233485828547164,ranc,1,,False,False,random,regression,1.0,0.9979211641480771,25014.0,24962.0,52.0,1.0,0.9978688136395927,46453.0,46354.0,99.0
,,openml_wine_quality,openml,,0.5890670962682097,outputs/openml/runs/openml_wine_quality/seed_2/metrics.csv,2274.0,4223.0,uci_via_openml,,,,,,,,,,,,0.75292701563219,none,2,,False,False,random,regression,0.998201007435836,0.998201007435836,24969.0,24969.0,0.0,0.9977181236949174,0.9977181236949174,46347.0,46347.0,0.0
,,openml_wine_quality,openml,,0.5871150978505159,outputs/openml/runs/openml_wine_quality/seed_2/metrics.csv,2274.0,4223.0,uci_via_openml,,,,,,,,,,,,0.7511735084829808,standard,2,,False,False,random,regression,0.998201007435836,0.998201007435836,24969.0,24969.0,0.0,0.9977181236949174,0.9977181236949174,46347.0,46347.0,0.0
,,openml_wine_quality,openml,,0.587118243578191,outputs/openml/runs/openml_wine_quality/seed_2/metrics.csv,2274.0,4223.0,uci_via_openml,,,,,,,,,,,,0.7511763859802935,robust,2,,False,False,random,regression,0.998201007435836,0.998201007435836,24969.0,24969.0,0.0,0.9977181236949174,0.9977181236949174,46347.0,46347.0,0.0
,,openml_wine_quality,openml,,0.5876123327601379,outputs/openml/runs/openml_wine_quality/seed_2/metrics.csv,2274.0,4223.0,uci_via_openml,,,,,,,,,,,,0.7517520913866979,minmax,2,,False,False,random,regression,0.998041096985688,0.998201007435836,24965.0,24969.0,-4.0,0.9973736895356597,0.9977181236949174,46331.0,46347.0,-16.0
,,openml_wine_quality,openml,,0.587118243578191,outputs/openml/runs/openml_wine_quality/seed_2/metrics.csv,2274.0,4223.0,uci_via_openml,,,,,,,,,,,,0.7511763859802935,selector,2,robust,False,False,random,regression,0.998201007435836,0.998201007435836,24969.0,24969.0,0.0,0.9977181236949174,0.9977181236949174,46347.0,46347.0,0.0
,,openml_wine_quality,openml,,0.5871150994816078,outputs/openml/runs/openml_wine_quality/seed_2/metrics.csv,2274.0,4223.0,uci_via_openml,0.0,11.0,4223.0,0.0,0.0,0.14988888888888963,True,zscore:11,28.0,0.0,,0.7511735099006049,ranc,2,,False,False,random,regression,1.0,0.998201007435836,25014.0,24969.0,45.0,1.0,0.9977181236949174,46453.0,46347.0,106.0
0.7955390334572491,0.8498751560549314,openml_diabetes,openml,,,outputs/openml/runs/openml_diabetes/seed_0/metrics.csv,269.0,499.0,uci_via_openml,,,,,,,,,,,,,none,0,,False,False,random,classification,0.8689591078066915,0.8689591078066915,1870.0,1870.0,0.0,0.8795090180360722,0.8795090180360722,3511.0,3511.0,0.0
