accuracy,auroc,contract_correct,contract_scenario,contract_secondary_violation,contract_violation_rate,hard_failures,ledger_rows,n_test,n_train,non_tail_mean_probability,non_tail_predicted_positive_rate,rare_positive_recall,scaler,scenario,seed,tail_count,tail_false_positive_rate,tail_label_rate,tail_mean_probability,tail_predicted_positive_rate,tail_probability_gap,x0_policy
0.6607142857142857,0.7327005511328842,True,signal,0.0,0.0,0.0,1.0,280.0,520.0,0.47906374468304536,0.4664179104477612,1.0,ranc,signal,17,12.0,nan,1.0,0.972973038418504,1.0,0.49390929373545867,zscore
0.6607142857142857,0.7327005511328842,True,signal,0.0,0.0,0.0,1.0,280.0,520.0,0.47906374468304536,0.4664179104477612,1.0,ranc_correct,signal,17,12.0,nan,1.0,0.972973038418504,1.0,0.49390929373545867,zscore
0.6571428571428571,0.726576852418861,False,noise,0.0,0.0,0.0,1.0,280.0,520.0,0.4860404579959261,0.4626865671641791,1.0,ranc_wrong_signal,signal,17,12.0,nan,1.0,0.8781164638258705,1.0,0.3920760058299444,log1p
0.6392857142857142,0.6649318842798102,,,0.06386757446943397,0.3350681157201898,0.0,0.0,280.0,520.0,0.4841593974276894,0.48484848484848486,0.7777777777777778,none,noise,18,16.0,0.42857142857142855,0.5625,0.5480269718971233,0.625,0.06386757446943397,
0.6392857142857142,0.6648298382570539,,,0.06303237595307709,0.3351701617429461,0.0,0.0,280.0,520.0,0.48421072423669076,0.48484848484848486,0.7777777777777778,standard,noise,18,16.0,0.42857142857142855,0.5625,0.5472431001897679,0.625,0.06303237595307709,
0.6392857142857142,0.6649318842798102,,,0.06380232146881243,0.3350681157201898,0.0,0.0,280.0,520.0,0.4842300517937967,0.48484848484848486,0.7777777777777778,robust,noise,18,16.0,0.42857142857142855,0.5625,0.5480323732626091,0.625,0.06380232146881243,
0.6428571428571429,0.6684014490535232,,,0.16464566068998387,0.33159855094647683,0.0,0.0,280.0,520.0,0.481826844502916,0.4810606060606061,1.0,winsor,noise,18,16.0,0.7142857142857143,0.5625,0.6464725051928999,0.875,0.16464566068998387,
0.7178571428571429,0.7969284147150365,,,0.3724036681200852,0.2030715852849635,0.0,0.0,280.0,520.0,0.4564448547526513,0.4583333333333333,1.0,quantile,noise,18,16.0,0.8571428571428571,0.5625,0.8288485228727365,0.9375,0.3724036681200852,
0.6571428571428571,0.6951885300270422,True,noise,0.2514090950919123,0.3048114699729578,0.0,1.0,280.0,520.0,0.4737398936334974,0.4696969696969697,1.0,ranc,noise,18,16.0,0.8571428571428571,0.5625,0.7251489887254097,0.9375,0.2514090950919123,log1p
0.6571428571428571,0.6951885300270422,True,noise,0.2514090950919123,0.3048114699729578,0.0,1.0,280.0,520.0,0.4737398936334974,0.4696969696969697,1.0,ranc_correct,noise,18,16.0,0.8571428571428571,0.5625,0.7251489887254097,0.9375,0.2514090950919123,log1p
